event_id,flow_id,sensor_id,cluster_id,grid_id,batch_id,src,dst,src_role,dst_role,link_type,start_time_sec,end_time_sec,payload_bytes,distance_m,rate_bps,deadline_sec,success_by_deadline
148,S322,322,38,38_6,13,UAV_0,SAT_0,MASTER,SATELLITE,satellite,792.0,792.002114149111,1415,,669300000.0,1440.0,True
149,S471,471,38,38_6,13,S_471,UAV_1,SENSOR,SLAVE,access,649.5480183639235,650.8968220330781,1725,61.8403620729734,1278911.1117120911,1920.0,True
150,S471,471,38,38_6,13,UAV_1,UAV_0,SLAVE,MASTER,relay,650.8968220330781,651.1140200900054,1725,57.47108544531727,7942060.0,1920.0,True
151,S471,471,38,38_6,13,UAV_0,SAT_0,MASTER,SATELLITE,satellite,792.0,792.0025773195877,1725,,669300000.0,1920.0,True
152,S27,27,38,38_4,13,S_27,UAV_2,SENSOR,SLAVE,access,663.041265799431,664.1779426570131,1615,50.70274574571695,1420808.3759490692,1320.0,True
153,S27,27,38,38_4,13,UAV_2,UAV_0,SLAVE,MASTER,relay,664.1779426570131,664.3812904030639,1615,72.02348355715343,7942060.0,1320.0,True
154,S27,27,38,38_4,13,UAV_0,SAT_0,MASTER,SATELLITE,satellite,792.0,792.0024129687733,1615,,669300000.0,1320.0,True
155,S332,332,38,38_4,13,S_332,UAV_2,SENSOR,SLAVE,access,664.3812904030638,665.6557078477867,1550,67.53210270313873,1216241.982890395,1920.0,True
156,S332,332,38,38_4,13,UAV_2,UAV_0,SLAVE,MASTER,relay,665.6557078477867,665.8508713192286,1550,72.02348355715343,7942060.0,1920.0,True
157,S332,332,38,38_4,13,UAV_0,SAT_0,MASTER,SATELLITE,satellite,792.0,792.002315852383,1550,,669300000.0,1920.0,True
158,S475,475,38,38_4,13,S_475,UAV_2,SENSOR,SLAVE,access,665.8508713192286,667.2033982202411,1645,67.53210270313873,1216241.982890395,1920.0,True
159,S475,475,38,38_4,13,UAV_2,UAV_0,SLAVE,MASTER,relay,667.2033982202411,667.4105233238037,1645,72.02348355715343,7942060.0,1920.0,True
160,S475,475,38,38_4,13,UAV_0,SAT_0,MASTER,SATELLITE,satellite,792.0,792.0024577917227,1645,,669300000.0,1920.0,True
161,S378,378,38,38_8,13,S_378,UAV_3,SENSOR,SLAVE,access,664.6120100648209,665.5004314873117,1250,51.690819689787595,1406989.9355818902,1500.0,True
162,S378,378,38,38_8,13,UAV_3,UAV_0,SLAVE,MASTER,relay,665.5004314873117,665.6578213836359,1250,94.55453145703721,7942060.0,1500.0,True
163,S378,378,38,38_8,13,UAV_0,SAT_0,MASTER,SATELLITE,satellite,792.0,792.0018676228896,1250,,669300000.0,1500.0,True
164,S338,338,38,38_8,13,S_338,UAV_3,SENSOR,SLAVE,access,665.6578213836359,666.6777291766555,1435,51.69081968978749,1406989.9355818913,1980.0,True
165,S338,338,38,38_8,13,UAV_3,UAV_0,SLAVE,MASTER,relay,666.6777291766555,666.8584127776355,1435,94.55453145703721,7942060.0,1980.0,True
